,City,status,Number,rpt_date
482,Gans,Recovered*,172,12/7/2021
483,Garber,Active,1 to 4,12/7/2021
484,Garber,Deceased,1 to 4,12/7/2021
485,Garber,Recovered*,179,12/7/2021
486,Garvin,Deceased,1 to 4,12/7/2021
487,Garvin,Recovered*,180,12/7/2021
488,Gate,Recovered*,29,12/7/2021
489,Geary,Active,7,12/7/2021
490,Geary,Deceased,9,12/7/2021
491,Geary,Recovered*,264,12/7/2021
492,Gene Autry,Active,1 to 4,12/7/2021
493,Gene Autry,Recovered*,15,12/7/2021
494,Geronimo,Active,1 to 4,12/7/2021
495,Geronimo,Deceased,5,12/7/2021
496,Geronimo,Recovered*,321,12/7/2021
497,Glencoe,Deceased,5,12/7/2021
498,Glencoe,Recovered*,302,12/7/2021
499,Glenpool,Active,31,12/7/2021
500,Glenpool,Deceased,41,12/7/2021
501,Glenpool,Recovered*,2506,12/7/2021
502,Goldsby,Recovered*,45,12/7/2021
503,Goltry,Active,1 to 4,12/7/2021
504,Goltry,Deceased,1 to 4,12/7/2021
505,Goltry,Recovered*,50,12/7/2021
506,Goodwell,Active,1 to 4,12/7/2021
507,Goodwell,Deceased,1 to 4,12/7/2021
508,Goodwell,Recovered*,195,12/7/2021
509,Gore,Active,13,12/7/2021
510,Gore,Deceased,11,12/7/2021
511,Gore,Recovered*,475,12/7/2021
512,Gotebo,Active,1 to 4,12/7/2021
513,Gotebo,Deceased,1 to 4,12/7/2021
514,Gotebo,Recovered*,38,12/7/2021
515,Gould,Active,1 to 4,12/7/2021
516,Gould,Recovered*,30,12/7/2021
517,Gracemont,Active,5,12/7/2021
518,Gracemont,Deceased,6,12/7/2021
519,Gracemont,Recovered*,195,12/7/2021
520,Grandfield,Active,1 to 4,12/7/2021
521,Grandfield,Deceased,1 to 4,12/7/2021
522,Grandfield,Recovered*,159,12/7/2021
523,Granite,Active,1 to 4,12/7/2021
524,Granite,Deceased,8,12/7/2021
525,Granite,Recovered*,189,12/7/2021
526,Grayson,Recovered*,1 to 4,12/7/2021
527,Greenfield,Deceased,1 to 4,12/7/2021
528,Greenfield,Recovered*,23,12/7/2021
529,Grove,Active,36,12/7/2021
530,Grove,Deceased,89,12/7/2021
531,Grove,Recovered*,2615,12/7/2021
532,Guthrie,Active,73,12/7/2021
533,Guthrie,Deceased,90,12/7/2021
534,Guthrie,Recovered*,3742,12/7/2021
535,Guymon,Active,49,12/7/2021
536,Guymon,Deceased,39,12/7/2021
537,Guymon,Recovered*,3145,12/7/2021
538,Haileyville,Deceased,1 to 4,12/7/2021
539,Haileyville,Recovered*,114,12/7/2021
540,Hallett,Recovered*,15,12/7/2021
541,Hammon,Active,9,12/7/2021
542,Hammon,Deceased,1 to 4,12/7/2021
543,Hammon,Recovered*,160,12/7/2021
544,Hanna,Recovered*,54,12/7/2021
545,Hardesty,Active,1 to 4,12/7/2021
546,Hardesty,Recovered*,61,12/7/2021
547,Harrah,Active,19,12/7/2021
548,Harrah,Deceased,37,12/7/2021
549,Harrah,Recovered*,1957,12/7/2021
550,Hartshorne,Active,1 to 4,12/7/2021
551,Hartshorne,Deceased,23,12/7/2021
552,Hartshorne,Recovered*,518,12/7/2021
553,Haskell,Active,16,12/7/2021
554,Haskell,Deceased,16,12/7/2021
555,Haskell,Recovered*,950,12/7/2021
556,Hastings,Deceased,1 to 4,12/7/2021
557,Hastings,Recovered*,72,12/7/2021
558,Haworth,Deceased,5,12/7/2021
559,Haworth,Recovered*,339,12/7/2021
560,Headrick,Active,1 to 4,12/7/2021
561,Headrick,Deceased,1 to 4,12/7/2021
562,Headrick,Recovered*,45,12/7/2021
563,Healdton,Active,1 to 4,12/7/2021
564,Healdton,Deceased,20,12/7/2021
565,Healdton,Recovered*,523,12/7/2021
566,Heavener,Active,6,12/7/2021
567,Heavener,Deceased,13,12/7/2021
568,Heavener,Recovered*,932,12/7/2021
569,Helena,Active,1 to 4,12/7/2021
570,Helena,Deceased,1 to 4,12/7/2021
571,Helena,Recovered*,751,12/7/2021
572,Hendrix,Active,1 to 4,12/7/2021
573,Hendrix,Recovered*,150,12/7/2021
574,Hennessey,Active,6,12/7/2021
575,Hennessey,Deceased,16,12/7/2021
576,Hennessey,Recovered*,811,12/7/2021
577,Henryetta,Active,34,12/7/2021
578,Henryetta,Deceased,51,12/7/2021
579,Henryetta,Recovered*,1424,12/7/2021
580,Hillsdale,Recovered*,25,12/7/2021
581,Hinton,Active,17,12/7/2021
582,Hinton,Deceased,1 to 4,12/7/2021
583,Hinton,Recovered*,606,12/7/2021
584,Hitchcock,Active,1 to 4,12/7/2021
585,Hitchcock,Recovered*,37,12/7/2021
586,Hitchita,Deceased,1 to 4,12/7/2021
587,Hitchita,Recovered*,26,12/7/2021
588,Hobart,Active,10,12/7/2021
589,Hobart,Deceased,20,12/7/2021
590,Hobart,Recovered*,501,12/7/2021
591,Hoffman,Recovered*,1 to 4,12/7/2021
592,Holdenville,Active,10,12/7/2021
593,Holdenville,Deceased,26,12/7/2021
594,Holdenville,Recovered*,922,12/7/2021
595,Hollis,Active,6,12/7/2021
596,Hollis,Deceased,9,12/7/2021
597,Hollis,Recovered*,329,12/7/2021
598,Hollister,Deceased,1 to 4,12/7/2021
599,Hollister,Recovered*,1 to 4,12/7/2021
600,Hominy,Active,1 to 4,12/7/2021
601,Hominy,Deceased,10,12/7/2021
602,Hominy,Recovered*,1030,12/7/2021
603,Hooker,Active,8,12/7/2021
604,Hooker,Recovered*,420,12/7/2021
605,Horntown,Recovered*,1 to 4,12/7/2021
606,Howe,Active,10,12/7/2021
607,Howe,Deceased,1 to 4,12/7/2021
608,Howe,Recovered*,451,12/7/2021
609,Hugo,Active,7,12/7/2021
610,Hugo,Deceased,36,12/7/2021
611,Hugo,Recovered*,1522,12/7/2021
612,Hulbert,Active,14,12/7/2021
613,Hulbert,Deceased,13,12/7/2021
614,Hulbert,Recovered*,878,12/7/2021
615,Hunter,Deceased,1 to 4,12/7/2021
616,Hunter,Recovered*,42,12/7/2021
617,Hydro,Active,19,12/7/2021
618,Hydro,Deceased,11,12/7/2021
619,Hydro,Recovered*,304,12/7/2021
620,Idabel,Active,11,12/7/2021
621,Idabel,Deceased,40,12/7/2021
622,Idabel,Recovered*,1817,12/7/2021
623,Indiahoma,Active,1 to 4,12/7/2021
624,Indiahoma,Deceased,5,12/7/2021
625,Indiahoma,Recovered*,240,12/7/2021
626,Indianola,Active,1 to 4,12/7/2021
