,RPT_Date,Jurisdictions,Cases,DoD_Cases,DoD_Cases_7dy,DoD_Cases_7dy_ave
414,10MAR2020,ALL OK Counties,2.0,1.0,2.0,
415,11MAR2020,ALL OK Counties,2.0,0.0,2.0,
416,12MAR2020,ALL OK Counties,2.0,0.0,2.0,0.2857142857
417,13MAR2020,ALL OK Counties,3.0,1.0,2.0,0.2857142857
418,14MAR2020,ALL OK Counties,4.0,1.0,3.0,0.42857142859999997
419,15MAR2020,ALL OK Counties,7.0,3.0,6.0,0.8571428570999999
420,16MAR2020,ALL OK Counties,10.0,3.0,9.0,1.2857142857
421,17MAR2020,ALL OK Counties,17.0,7.0,15.0,2.1428571429
422,18MAR2020,ALL OK Counties,29.0,12.0,27.0,3.8571428571
423,19MAR2020,ALL OK Counties,44.0,15.0,42.0,6.0
424,20MAR2020,ALL OK Counties,49.0,5.0,46.0,6.5714285714
425,21MAR2020,ALL OK Counties,53.0,4.0,49.0,7.0
426,22MAR2020,ALL OK Counties,67.0,14.0,60.0,8.5714285714
427,23MAR2020,ALL OK Counties,81.0,14.0,71.0,10.142857142999999
428,24MAR2020,ALL OK Counties,106.0,25.0,89.0,12.714285714
429,25MAR2020,ALL OK Counties,164.0,58.0,135.0,19.285714285999997
430,26MAR2020,ALL OK Counties,248.0,84.0,204.0,29.142857143
431,27MAR2020,ALL OK Counties,322.0,74.0,273.0,39.0
432,28MAR2020,ALL OK Counties,377.0,55.0,324.0,46.285714286
433,29MAR2020,ALL OK Counties,429.0,52.0,362.0,51.714285714
434,30MAR2020,ALL OK Counties,481.0,52.0,400.0,57.142857143
435,31MAR2020,ALL OK Counties,565.0,84.0,459.0,65.571428571
436,01APR2020,ALL OK Counties,719.0,154.0,555.0,79.285714286
437,02APR2020,ALL OK Counties,879.0,160.0,631.0,90.14285714299999
438,03APR2020,ALL OK Counties,988.0,109.0,666.0,95.14285714299999
439,04APR2020,ALL OK Counties,1159.0,171.0,782.0,111.71428571
440,05APR2020,ALL OK Counties,1252.0,93.0,823.0,117.57142857
441,06APR2020,ALL OK Counties,1327.0,75.0,846.0,120.85714286
442,07APR2020,ALL OK Counties,1472.0,145.0,907.0,129.57142857
