,County,dose_date,Janssen,Moderna,Pfizer12+,Pfizer5-11,Total Doses Administered
173,ADAMS,2021-10-13,0.0,2.0,0.0,0.0,2.0
174,ADAMS,2021-10-14,0.0,0.0,5.0,0.0,5.0
175,ADAMS,2021-10-15,0.0,0.0,1.0,0.0,1.0
176,ADAMS,2021-10-18,0.0,0.0,3.0,0.0,3.0
177,ADAMS,2021-10-20,1.0,5.0,1.0,0.0,7.0
178,ADAMS,2021-10-21,0.0,0.0,2.0,0.0,2.0
179,ADAMS,2021-10-22,0.0,4.0,14.0,0.0,18.0
180,ADAMS,2021-10-25,0.0,7.0,1.0,0.0,8.0
181,ADAMS,2021-10-26,2.0,7.0,2.0,0.0,11.0
182,ADAMS,2021-10-27,0.0,39.0,13.0,0.0,52.0
183,ADAMS,2021-10-28,0.0,5.0,6.0,0.0,11.0
184,ADAMS,2021-10-29,0.0,3.0,6.0,0.0,9.0
185,ADAMS,2021-11-01,0.0,7.0,5.0,0.0,12.0
186,ADAMS,2021-11-02,0.0,9.0,1.0,0.0,10.0
187,ADAMS,2021-11-03,1.0,35.0,5.0,0.0,41.0
188,ADAMS,2021-11-04,0.0,6.0,5.0,0.0,11.0
189,ADAMS,2021-11-05,0.0,11.0,9.0,0.0,20.0
190,ADAMS,2021-11-08,0.0,4.0,2.0,0.0,6.0
191,ADAMS,2021-11-09,0.0,6.0,5.0,0.0,11.0
192,ADAMS,2021-11-10,0.0,36.0,2.0,1.0,39.0
193,ADAMS,2021-11-11,0.0,6.0,0.0,3.0,9.0
194,ADAMS,2021-11-12,0.0,3.0,3.0,0.0,6.0
195,ADAMS,2021-11-15,0.0,7.0,6.0,0.0,13.0
196,ADAMS,2021-11-16,0.0,5.0,3.0,2.0,10.0
197,ADAMS,2021-11-17,0.0,30.0,0.0,0.0,30.0
198,ADAMS,2021-11-18,1.0,3.0,0.0,0.0,4.0
199,ADAMS,2021-11-19,0.0,3.0,0.0,0.0,3.0
200,ADAMS,2021-11-22,0.0,1.0,0.0,0.0,1.0
201,ADAMS,2021-11-23,0.0,20.0,6.0,1.0,27.0
202,ADAMS,2021-11-24,0.0,15.0,0.0,1.0,16.0
203,ADAMS,2021-11-29,0.0,8.0,3.0,2.0,13.0
204,ADAMS,2021-11-30,0.0,3.0,3.0,0.0,6.0
205,ADAMS,2021-12-01,0.0,17.0,5.0,0.0,22.0
