,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
135,East Windsor,15-44,No,4216.0,1178,27.94,450,10.67,04/21/2021
136,East Windsor,45-64,No,3548.0,2104,59.3,1264,35.63,04/21/2021
137,East Windsor,65+,No,1954.0,1795,91.86,1583,81.01,04/21/2021
138,Eastford,15-44,No,522.0,151,28.93,70,13.41,04/21/2021
139,Eastford,45-64,No,654.0,329,50.31,229,35.02,04/21/2021
140,Eastford,65+,No,282.0,305,100.0,273,96.81,04/21/2021
141,Easton,15-44,No,2122.0,1080,50.9,410,19.32,04/21/2021
142,Easton,45-64,No,2731.0,1912,70.01,1238,45.33,04/21/2021
143,Easton,65+,No,1291.0,1163,90.09,1058,81.95,04/21/2021
144,Ellington,15-44,No,5720.0,2569,44.91,1032,18.04,04/21/2021
145,Ellington,45-64,No,4846.0,3490,72.02,2200,45.4,04/21/2021
146,Ellington,65+,No,2226.0,2373,100.0,2100,94.34,04/21/2021
147,Enfield,15-44,Yes,18395.0,4734,25.74,1960,10.66,04/21/2021
148,Enfield,45-64,Yes,12806.0,7262,56.71,4538,35.44,04/21/2021
149,Enfield,65+,Yes,6727.0,6078,90.35,5279,78.47,04/21/2021
150,Essex,15-44,No,1659.0,846,50.99,349,21.04,04/21/2021
151,Essex,45-64,No,2360.0,1680,71.19,1177,49.87,04/21/2021
152,Essex,65+,No,1711.0,1929,100.0,1805,100.0,04/21/2021
153,Fairfield,15-44,No,23265.0,10439,44.87,3406,14.64,04/21/2021
154,Fairfield,45-64,No,16983.0,14499,85.37,8779,51.69,04/21/2021
155,Fairfield,65+,No,9292.0,8950,96.32,7951,85.57,04/21/2021
156,Farmington,15-44,No,8743.0,5060,57.87,2297,26.27,04/21/2021
157,Farmington,45-64,No,7913.0,6049,76.44,4311,54.48,04/21/2021
158,Farmington,65+,No,4759.0,4938,100.0,4537,95.34,04/21/2021
159,Franklin,15-44,No,675.0,219,32.44,103,15.26,04/21/2021
160,Franklin,45-64,No,669.0,385,57.55,271,40.51,04/21/2021
161,Franklin,65+,No,358.0,349,97.49,319,89.11,04/21/2021
162,Glastonbury,15-44,No,11016.0,6561,59.56,2584,23.46,04/21/2021
163,Glastonbury,45-64,No,11374.0,8827,77.61,5996,52.72,04/21/2021
164,Glastonbury,65+,No,5766.0,5969,100.0,5456,94.62,04/21/2021
165,Goshen,15-44,No,821.0,295,35.93,125,15.23,04/21/2021
166,Goshen,45-64,No,1092.0,665,60.9,449,41.12,04/21/2021
167,Goshen,65+,No,602.0,618,100.0,558,92.69,04/21/2021
168,Granby,15-44,No,3397.0,1527,44.95,570,16.78,04/21/2021
169,Granby,45-64,No,4055.0,2741,67.6,1879,46.34,04/21/2021
170,Granby,65+,No,1824.0,1957,100.0,1798,98.57,04/21/2021
171,Greenwich,15-44,No,20116.0,8682,43.16,2148,10.68,04/21/2021
172,Greenwich,45-64,No,18950.0,14319,75.56,7933,41.86,04/21/2021
173,Greenwich,65+,No,10466.0,9492,90.69,8482,81.04,04/21/2021
174,Griswold,15-44,Yes,4677.0,945,20.21,483,10.33,04/21/2021
175,Griswold,45-64,Yes,3686.0,1949,52.88,1312,35.59,04/21/2021
176,Griswold,65+,Yes,1480.0,1505,100.0,1361,91.96,04/21/2021
177,Groton,15-44,Yes,18008.0,4499,24.98,1881,10.45,04/21/2021
178,Groton,45-64,Yes,9135.0,5730,62.73,3810,41.71,04/21/2021
179,Groton,65+,Yes,5974.0,5706,95.51,5169,86.52,04/21/2021
180,Guilford,15-44,No,6129.0,3527,57.55,1482,24.18,04/21/2021
181,Guilford,45-64,No,7595.0,5561,73.22,3800,50.03,04/21/2021
182,Guilford,65+,No,4823.0,4989,100.0,4682,97.08,04/21/2021
183,Haddam,15-44,No,2492.0,1126,45.18,535,21.47,04/21/2021
184,Haddam,45-64,No,2950.0,2006,68.0,1448,49.08,04/21/2021
185,Haddam,65+,No,1411.0,1637,100.0,1502,100.0,04/21/2021
186,Hamden,15-44,No,26827.0,9066,33.79,3961,14.76,04/21/2021
187,Hamden,45-64,No,15611.0,10694,68.5,7161,45.87,04/21/2021
188,Hamden,65+,No,9807.0,9393,95.78,8491,86.58,04/21/2021
189,Hampton,15-44,No,593.0,151,25.46,75,12.65,04/21/2021
190,Hampton,45-64,No,740.0,381,51.49,241,32.57,04/21/2021
191,Hampton,65+,No,304.0,359,100.0,331,100.0,04/21/2021
192,Hartford,15-44,Yes,59406.0,11350,19.11,5141,8.65,04/21/2021
193,Hartford,45-64,Yes,27931.0,13479,48.26,8407,30.1,04/21/2021
194,Hartford,65+,Yes,11937.0,9956,83.4,7999,67.01,04/21/2021
195,Hartland,15-44,No,627.0,178,28.39,80,12.76,04/21/2021
196,Hartland,45-64,No,805.0,417,51.8,287,35.65,04/21/2021
197,Hartland,65+,No,339.0,347,100.0,314,92.63,04/21/2021
198,Harwinton,15-44,No,1588.0,635,39.99,302,19.02,04/21/2021
199,Harwinton,45-64,No,2011.0,1155,57.43,797,39.63,04/21/2021
200,Harwinton,65+,No,1071.0,1030,96.17,921,85.99,04/21/2021
201,Hebron,15-44,No,3205.0,1433,44.71,619,19.31,04/21/2021
202,Hebron,45-64,No,3307.0,2310,69.85,1604,48.5,04/21/2021
203,Hebron,65+,No,1272.0,1513,100.0,1390,100.0,04/21/2021
204,Kent,15-44,No,730.0,428,58.63,241,33.01,04/21/2021
205,Kent,45-64,No,1072.0,747,69.68,464,43.28,04/21/2021
206,Kent,65+,No,689.0,718,100.0,657,95.36,04/21/2021
207,Killingly,15-44,Yes,6479.0,1280,19.76,696,10.74,04/21/2021
208,Killingly,45-64,Yes,5032.0,2538,50.44,1695,33.68,04/21/2021
209,Killingly,65+,Yes,2753.0,2651,96.29,2363,85.83,04/21/2021
210,Killingworth,15-44,No,1724.0,834,48.38,363,21.06,04/21/2021
211,Killingworth,45-64,No,2494.0,1549,62.11,1091,43.74,04/21/2021
212,Killingworth,65+,No,1253.0,1301,100.0,1201,95.85,04/21/2021
213,Lebanon,15-44,No,2550.0,886,34.75,427,16.75,04/21/2021
214,Lebanon,45-64,No,2495.0,1556,62.36,1090,43.69,04/21/2021
215,Lebanon,65+,No,1056.0,1147,100.0,1033,97.82,04/21/2021
216,Ledyard,15-44,No,5618.0,2099,37.36,942,16.77,04/21/2021
217,Ledyard,45-64,No,4428.0,2663,60.14,1841,41.58,04/21/2021
218,Ledyard,65+,No,2268.0,2202,97.09,2052,90.48,04/21/2021
219,Lisbon,15-44,No,1512.0,411,27.18,208,13.76,04/21/2021
220,Lisbon,45-64,No,1503.0,829,55.16,614,40.85,04/21/2021
221,Lisbon,65+,No,716.0,637,88.97,568,79.33,04/21/2021
222,Litchfield,15-44,No,2365.0,945,39.96,425,17.97,04/21/2021
223,Litchfield,45-64,No,2804.0,1717,61.23,1144,40.8,04/21/2021
224,Litchfield,65+,No,1918.0,1673,87.23,1422,74.14,04/21/2021
225,Lyme,15-44,No,541.0,296,54.71,114,21.07,04/21/2021
226,Lyme,45-64,No,896.0,661,73.77,457,51.0,04/21/2021
227,Lyme,65+,No,646.0,690,100.0,643,99.54,04/21/2021
228,Madison,15-44,No,4914.0,2914,59.3,1147,23.34,04/21/2021
229,Madison,45-64,No,6369.0,4869,76.45,3316,52.06,04/21/2021
230,Madison,65+,No,3777.0,3845,100.0,3610,95.58,04/21/2021
231,Manchester,15-44,Yes,24954.0,8690,34.82,3489,13.98,04/21/2021
232,Manchester,45-64,Yes,14827.0,9232,62.26,5581,37.64,04/21/2021
233,Manchester,65+,Yes,8122.0,7609,93.68,6601,81.27,04/21/2021
234,Mansfield,15-44,No,18947.0,2570,13.56,782,4.13,04/21/2021
235,Mansfield,45-64,No,3162.0,2338,73.94,1587,50.19,04/21/2021
236,Mansfield,65+,No,2154.0,2251,100.0,2068,96.01,04/21/2021
237,Marlborough,15-44,No,2071.0,980,47.32,431,20.81,04/21/2021
238,Marlborough,45-64,No,2144.0,1409,65.72,987,46.04,04/21/2021
239,Marlborough,65+,No,994.0,1060,100.0,956,96.18,04/21/2021
240,Meriden,15-44,Yes,24368.0,6196,25.43,2905,11.92,04/21/2021
241,Meriden,45-64,Yes,16041.0,9480,59.1,5769,35.96,04/21/2021
242,Meriden,65+,Yes,8458.0,7330,86.66,6358,75.17,04/21/2021
243,Middlebury,15-44,No,2366.0,1175,49.66,585,24.73,04/21/2021
244,Middlebury,45-64,No,2377.0,1753,73.75,1199,50.44,04/21/2021
245,Middlebury,65+,No,1465.0,1515,100.0,1336,91.19,04/21/2021
246,Middlefield,15-44,No,1395.0,540,38.71,260,18.64,04/21/2021
247,Middlefield,45-64,No,1563.0,1030,65.9,675,43.19,04/21/2021
248,Middlefield,65+,No,797.0,784,98.37,718,90.09,04/21/2021
249,Middletown,15-44,Yes,20642.0,8143,39.45,3644,17.65,04/21/2021
250,Middletown,45-64,Yes,12488.0,8541,68.39,5569,44.59,04/21/2021
251,Middletown,65+,Yes,6826.0,6737,98.7,5964,87.37,04/21/2021
252,Milford,15-44,Yes,18818.0,8725,46.37,3889,20.67,04/21/2021
253,Milford,45-64,Yes,16872.0,11649,69.04,7408,43.91,04/21/2021
254,Milford,65+,Yes,9703.0,9157,94.37,8188,84.39,04/21/2021
255,Monroe,15-44,No,6545.0,3026,46.23,1222,18.67,04/21/2021
256,Monroe,45-64,No,6692.0,4424,66.11,2699,40.33,04/21/2021
257,Monroe,65+,No,2960.0,2826,95.47,2464,83.24,04/21/2021
258,Montville,15-44,Yes,8025.0,2112,26.32,1106,13.78,04/21/2021
259,Montville,45-64,Yes,5607.0,3195,56.98,2188,39.02,04/21/2021
260,Montville,65+,Yes,3033.0,2628,86.65,2395,78.96,04/21/2021
261,Morris,15-44,No,676.0,229,33.88,98,14.5,04/21/2021
262,Morris,45-64,No,871.0,433,49.71,288,33.07,04/21/2021
263,Morris,65+,No,415.0,382,92.05,316,76.14,04/21/2021
264,Naugatuck,15-44,No,12722.0,3751,29.48,1673,13.15,04/21/2021
265,Naugatuck,45-64,No,9236.0,5194,56.24,3124,33.82,04/21/2021
266,Naugatuck,65+,No,4117.0,3791,92.08,3134,76.12,04/21/2021
267,New Britain,15-44,Yes,33476.0,7044,21.04,3394,10.14,04/21/2021
268,New Britain,45-64,Yes,16700.0,8872,53.13,5558,33.28,04/21/2021
269,New Britain,65+,Yes,8658.0,6978,80.6,5871,67.81,04/21/2021
270,New Canaan,15-44,No,5714.0,3531,61.8,747,13.07,04/21/2021
271,New Canaan,45-64,No,6587.0,5378,81.65,3324,50.46,04/21/2021
272,New Canaan,65+,No,3081.0,2993,97.14,2691,87.34,04/21/2021
273,New Fairfield,15-44,No,4673.0,1629,34.86,671,14.36,04/21/2021
274,New Fairfield,45-64,No,4814.0,2950,61.28,1747,36.29,04/21/2021
275,New Fairfield,65+,No,2004.0,2100,100.0,1855,92.56,04/21/2021
276,New Hartford,15-44,No,2219.0,867,39.07,395,17.8,04/21/2021
277,New Hartford,45-64,No,2411.0,1415,58.69,1027,42.6,04/21/2021
278,New Hartford,65+,No,1028.0,1202,100.0,1092,100.0,04/21/2021
279,New Haven,15-44,Yes,67232.0,22630,33.66,9535,14.18,04/21/2021
280,New Haven,45-64,Yes,26423.0,15588,58.99,9774,36.99,04/21/2021
281,New Haven,65+,Yes,12676.0,10247,80.84,8875,70.01,04/21/2021
282,New London,15-44,Yes,14133.0,3201,22.65,1270,8.99,04/21/2021
283,New London,45-64,Yes,6006.0,3573,59.49,2274,37.86,04/21/2021
284,New London,65+,Yes,2944.0,2756,93.61,2424,82.34,04/21/2021
285,New Milford,15-44,No,9733.0,3596,36.95,1757,18.05,04/21/2021
