,zip,status,Number,rpt_date
327,73139.0,Deceased,64,02/01/2022
328,73139.0,Recovered*,4115,02/01/2022
329,73141.0,Active,44,02/01/2022
330,73141.0,Deceased,8,02/01/2022
331,73141.0,Recovered*,480,02/01/2022
332,73142.0,Active,369,02/01/2022
333,73142.0,Deceased,42,02/01/2022
334,73142.0,Recovered*,3494,02/01/2022
335,73145.0,Active,62,02/01/2022
336,73145.0,Deceased,1 to 4,02/01/2022
337,73145.0,Recovered*,504,02/01/2022
338,73149.0,Active,136,02/01/2022
339,73149.0,Deceased,15,02/01/2022
340,73149.0,Recovered*,1117,02/01/2022
341,73150.0,Active,103,02/01/2022
342,73150.0,Deceased,13,02/01/2022
343,73150.0,Recovered*,1031,02/01/2022
344,73151.0,Active,39,02/01/2022
345,73151.0,Deceased,1 to 4,02/01/2022
346,73151.0,Recovered*,396,02/01/2022
347,73159.0,Active,652,02/01/2022
348,73159.0,Deceased,81,02/01/2022
349,73159.0,Recovered*,7347,02/01/2022
350,73160.0,Active,1756,02/01/2022
351,73160.0,Deceased,117,02/01/2022
352,73160.0,Recovered*,14698,02/01/2022
353,73162.0,Active,645,02/01/2022
354,73162.0,Deceased,95,02/01/2022
355,73162.0,Recovered*,5931,02/01/2022
356,73165.0,Active,213,02/01/2022
357,73165.0,Deceased,18,02/01/2022
358,73165.0,Recovered*,1716,02/01/2022
359,73169.0,Active,126,02/01/2022
360,73169.0,Deceased,1 to 4,02/01/2022
361,73169.0,Recovered*,1271,02/01/2022
362,73170.0,Active,1161,02/01/2022
363,73170.0,Deceased,146,02/01/2022
364,73170.0,Recovered*,9670,02/01/2022
365,73173.0,Active,99,02/01/2022
366,73173.0,Deceased,5,02/01/2022
367,73173.0,Recovered*,1109,02/01/2022
368,73179.0,Active,177,02/01/2022
369,73179.0,Deceased,9,02/01/2022
370,73179.0,Recovered*,1836,02/01/2022
371,73401.0,Active,1037,02/01/2022
372,73401.0,Deceased,138,02/01/2022
373,73401.0,Recovered*,8587,02/01/2022
374,73425.0,Active,1 to 4,02/01/2022
375,73425.0,Recovered*,6,02/01/2022
376,73430.0,Active,33,02/01/2022
377,73430.0,Deceased,1 to 4,02/01/2022
378,73430.0,Recovered*,261,02/01/2022
379,73432.0,Active,17,02/01/2022
380,73432.0,Deceased,1 to 4,02/01/2022
381,73432.0,Recovered*,237,02/01/2022
382,73433.0,Active,61,02/01/2022
383,73433.0,Deceased,8,02/01/2022
384,73433.0,Recovered*,551,02/01/2022
385,73434.0,Active,11,02/01/2022
386,73434.0,Recovered*,103,02/01/2022
387,73437.0,Active,1 to 4,02/01/2022
388,73437.0,Deceased,1 to 4,02/01/2022
389,73437.0,Recovered*,37,02/01/2022
390,73438.0,Active,53,02/01/2022
391,73438.0,Deceased,23,02/01/2022
392,73438.0,Recovered*,619,02/01/2022
393,73439.0,Active,173,02/01/2022
394,73439.0,Deceased,18,02/01/2022
395,73439.0,Recovered*,1729,02/01/2022
396,73440.0,Active,1 to 4,02/01/2022
397,73440.0,Deceased,1 to 4,02/01/2022
398,73440.0,Recovered*,59,02/01/2022
399,73441.0,Active,7,02/01/2022
400,73441.0,Recovered*,45,02/01/2022
401,73442.0,Active,1 to 4,02/01/2022
402,73442.0,Deceased,1 to 4,02/01/2022
403,73442.0,Recovered*,92,02/01/2022
404,73443.0,Active,98,02/01/2022
405,73443.0,Deceased,15,02/01/2022
